30,Journal of Public Economics,2017,154,,Editorial board,,,,,,,
30,Journal of Public Economics,2017,154,,The political economy of higher education admission standards and participation gap,Philippe De Donder,Francisco Martinez-Mora,,,,,
30,Journal of Public Economics,2017,154,,"Mafia, elections and violence against politicians",Gianmarco Daniele,Gemma Dipoppa,,,,,
30,Journal of Public Economics,2017,154,,The case for nil votes: Voter behavior under asymmetric information in compulsory and voluntary voting systems,Attila Ambrus,Ben Greiner,Anne Sastro,,,,
30,Journal of Public Economics,2017,154,,�Ghost citizens': Using notches to identify manipulation of population-based grants,Dirk Foremny,Jordi Jofre-Monseny,Albert Sola�-Olla�,,,,
30,Journal of Public Economics,2017,154,,The effect of Medicaid expansion on crime reduction: Evidence from HIFA-waiver expansions,Hefei Wen,Jason M. Hockenberry,Janet R. Cummings,,,,
30,Journal of Public Economics,2017,154,,The efficiency of local government: The role of privatization and public sector unions,Rhiannon Jerch,Matthew E. Kahn,Shanjun Li,,,,
30,Journal of Public Economics,2017,154,,The effects of access to health insurance: Evidence from a regression discontinuity design in Peru,Noelia Bernal,Miguel A. Carpio,Tobias J. Klein,,,,
30,Journal of Public Economics,2017,154,,Factor income taxation in a horizontal innovation model,Xin Long,Alessandra Pelloni,,,,,
30,Journal of Public Economics,2017,153,,Editorial Board,,,,,,,
30,Journal of Public Economics,2017,153,,Public order and private payments: Evidence from the Swedish soccer league,Sten Nyberg,Mikael Priks,,,,,
30,Journal of Public Economics,2017,153,,"Test-based promotion policies, dropping out, and juvenile crime",Ozkan Eren,Briggs Depew,Stephen Barnes,,,,
30,Journal of Public Economics,2017,153,,The effect of media attention on terrorism,Michael Jetter,,,,,,
30,Journal of Public Economics,2017,153,,Individual risk preferences and the demand for redistribution,Manja Ga�rtner,Johanna Mollerstrom,David Seim,,,,
30,Journal of Public Economics,2017,153,,Equity and efficiency in rationed labor markets,Aart Gerritsen,,,,,,
30,Journal of Public Economics,2017,153,,The value of a healthy home: Lead paint remediation and housing values,Stephen B. Billings,Kevin T. Schnepel,,,,,
30,Journal of Public Economics,2017,153,,Politicians under investigation: The news Media's effect on the likelihood of resignation,Marcel Garz,Jil Sa�rensen,,,,,
30,Journal of Public Economics,2017,153,,The effect of moving to a territorial tax system on profit repatriation: Evidence from Japan,Makoto Hasegawa,Kozo Kiyota,,,,,
30,Journal of Public Economics,2017,152,,Editorial Board,,,,,,,
30,Journal of Public Economics,2017,152,,Deadlines and infrequent monitoring in the dynamic provision of public agoods,George Georgiadis,,,,,,
30,Journal of Public Economics,2017,152,,Information provision and consumer behavior: A natural experiment in billing frequency,Casey J. Wichman,,,,,,
30,Journal of Public Economics,2017,152,,From gallons to miles: A disaggregate analysis of automobile travel and externality taxes,Ashley Langer,Vikram Maheshri,Clifford Winston,,,,
